URL,Link Count,Status Code,Title,Meta Description,Word Count,Internal Links,External Links,Images Count,Has H1,H1 Count,Has Meta Description,Has Canonical,Canonical URL
blog.boot.dev/tutorials/python/functions/,2,200,Functions in Python | Boot.dev,"Functions in Python allow us to reuse and organize code. For example, say we have some code that calculates the area of a circle:",2226,22,29,12,true,1,true,true,https://blog.boot.dev/tutorials/python/functions/
blog.boot.dev/tutorials/python/variables,2,200,Variables and Types in Python | Boot.dev,Variables are how we store data as our program runs. You’re probably already familiar with printing data by passing it straight into print():,1916,17,28,12,true,1,true,true,https://blog.boot.dev/tutorials/python/variables/
blog.boot.dev/computer-science/,1,200,Computer-Science | Boot.dev,"You don't need a CS degree to get hired, but you do need computer science skills. Prepare to land an entry-level role in tech by building real coding projects.",836,30,23,38,true,1,true,true,https://blog.boot.dev/computer-science/
blog.boot.dev/computer-science/18-months-with-gpt-4/,1,200,18 Months With GPT-4: Now Can I Fire My Developers? | Boot.dev,"As the founder of a company where my largest static expense is engineering salaries, I’m over here just chomping at the bit, eagerly awaiting the moment I can fire everyone and line my pockets with all those juicy savings.",2374,18,29,13,true,1,true,true,https://blog.boot.dev/computer-science/18-months-with-gpt-4/
blog.boot.dev/computer-science/ai-taking-programming-jobs,1,200,9 Months With GPT-4: Can I Fire My Developers Yet? | Boot.dev,"GitHub has been re-founded on copilot, rumors of an AI superior to GPT-4 abound, and you’re trying to decide if it’s worth it to learn what a red-black tree is.",2553,18,28,16,true,1,true,true,https://blog.boot.dev/computer-science/ai-taking-programming-jobs/
blog.boot.dev/computer-science/ai-taking-programming-jobs/,1,200,9 Months With GPT-4: Can I Fire My Developers Yet? | Boot.dev,"GitHub has been re-founded on copilot, rumors of an AI superior to GPT-4 abound, and you’re trying to decide if it’s worth it to learn what a red-black tree is.",2553,18,28,16,true,1,true,true,https://blog.boot.dev/computer-science/ai-taking-programming-jobs/
blog.boot.dev/computer-science/is-computer-science-hard/,1,200,Is Computer Science Really That Hard? | Boot.dev,"Yes, computer science is hard, but you already know that. You don’t want to know if computer science is hard.",2548,28,43,17,true,1,true,true,https://blog.boot.dev/computer-science/is-computer-science-hard/
blog.boot.dev/education/is-there-a-course-on/,1,200,Is There a Course on <Insert Technology>? | Boot.dev,"In the Boot.dev Discord server, this question appears now and then. Will there be a Rust course?",939,17,27,12,true,1,true,true,https://blog.boot.dev/education/is-there-a-course-on/
blog.boot.dev/education/maybe-you-do-need-kubernetes/,1,200,Maybe You Do Need Kubernetes | Boot.dev,"Theo has this great video on Kubernetes, currently titled “You Don’t Need Kubernetes”. I’m a Kubernetes enjoyer (I even wrote a course on it, but I’m not here to argue about that.",1120,17,27,14,true,1,true,true,https://blog.boot.dev/education/maybe-you-do-need-kubernetes/
blog.boot.dev/education/state-of-learning-to-code-2024/,1,200,The State of Learning to Code - 2024 Report | Boot.dev,"I’ve been building a learning curriculum for backend developers for the last 3 years, but I’ve mostly been relying on qualitative feedback and my own intuitions.",4662,17,32,20,true,1,true,true,https://blog.boot.dev/education/state-of-learning-to-code-2024/
blog.boot.dev/golang/pointers-faster-than-values/,1,200,Are Pointers in Go Faster Than Values? | Boot.dev,I was recently working on a lesson about pointer performance for Boot.dev’s Golang course when I found myself repeating some advice I’ve given many times before.,1151,17,29,12,true,1,true,true,https://blog.boot.dev/golang/pointers-faster-than-values/
blog.boot.dev/news/bootdev-beat-2024-03/,1,200,The Boot.dev Beat. March 2024 | Boot.dev,"Pythogoras escaped this month. The community rallied against the Serpent God, and while he was wounded and beaten back, he escaped.",969,17,35,14,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2024-03/
blog.boot.dev/news/bootdev-beat-2024-04/,1,200,The Boot.dev Beat. April 2024 | Boot.dev,"Pythogoras returned in our second community-wide boss battle. He was vanquished, and there was much rejoicing.",880,17,34,14,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2024-04/
blog.boot.dev/news/bootdev-beat-2024-05/,1,200,The Boot.dev Beat. May 2024 | Boot.dev,"A new Pub/Sub Architecture course, lootable chests, and ThePrimeagen’s Git course is only a couple weeks away.",874,17,37,15,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2024-05/
blog.boot.dev/news/bootdev-beat-2024-06/,1,200,The Boot.dev Beat. June 2024 | Boot.dev,"ThePrimeagen’s Git course is live. A new boss battle is on the horizon, and we’ve made massive speed improvements to the site.",860,17,38,14,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2024-06/
blog.boot.dev/news/bootdev-beat-2024-07/,1,200,The Boot.dev Beat. July 2024 | Boot.dev,"One million lessons. Well, to be precise, you have all completed 1,122,050 lessons just in June.",818,17,38,13,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2024-07/
blog.boot.dev/news/bootdev-beat-2025-02/,1,200,The Boot.dev Beat. February 2025 | Boot.dev,It’s official: TJ’s C course walkthrough was released before GTA6! This is a great month for Boot.,822,17,34,14,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2025-02/
blog.boot.dev/news/bootdev-beat-2025-03/,1,200,The Boot.dev Beat. March 2025 | Boot.dev,"Our new JavaScript course is live! ThePrimeagen’s course on building your own HTTP server from scratch is just around the corner, and the TypeScript track couldn’t be closer.",959,17,34,13,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2025-03/
blog.boot.dev/news/bootdev-beat-2025-04/,1,200,The Boot.dev Beat. April 2025 | Boot.dev,"The Lord of the Mire has been the hardest boss yet (by far), weighing it with 150,000,000 HP.",844,17,34,13,true,1,true,true,https://blog.boot.dev/news/bootdev-beat-2025-04/
blog.boot.dev/page/2/,1,200,Boot.dev Blog Pg. 2,"You don't need a CS degree to get hired, but you do need computer science skills. Prepare to land an entry-level role in tech by building real coding projects.",1057,38,23,52,true,1,true,true,https://blog.boot.dev/page/2/
blog.boot.dev/python/best-places-to-learn-python-online/,1,200,The 28 Best Places to Learn Python Online | Boot.dev,"For anyone who wants to learn Python online, it can be a bit overwhelming. When I Googled it, I came up with over 200 million hits.",3661,23,58,15,true,1,true,true,https://blog.boot.dev/python/best-places-to-learn-python-online/
blog.boot.dev/tutorials/build-blog-aggregator-golang-deprecated/,1,200,Build a Blog Aggregator in Go [Deprecated] | Boot.dev,We’re going to build an RSS feed aggregator in Go! It’s a web server that allows clients to:,4720,19,65,12,true,1,true,true,https://blog.boot.dev/tutorials/build-blog-aggregator-golang-deprecated/
blog.boot.dev/tutorials/learn-http-servers-golang-deprecated/,1,200,Build a Web Server in Go [Deprecated] | Boot.dev,Let’s build a fully-fledged HTTP server from scratch in Go. This course assumes you already have a solid understanding of Go.,12398,38,137,22,true,1,true,true,https://blog.boot.dev/tutorials/learn-http-servers-golang-deprecated/
blog.boot.dev/tutorials/python/functions,1,200,Functions in Python | Boot.dev,"Functions in Python allow us to reuse and organize code. For example, say we have some code that calculates the area of a circle:",2226,22,29,12,true,1,true,true,https://blog.boot.dev/tutorials/python/functions/
blog.boot.dev/tutorials/python/lists,1,200,Lists in Python | Boot.dev,"Lists 🔗 A natural way to organize and store data is in a List. Some languages call them “arrays”, but in Python, we just call them lists.",1890,18,27,12,true,1,true,true,https://blog.boot.dev/tutorials/python/lists/
blog.boot.dev/tutorials/python/lists/,1,200,Lists in Python | Boot.dev,"Lists 🔗 A natural way to organize and store data is in a List. Some languages call them “arrays”, but in Python, we just call them lists.",1890,18,27,12,true,1,true,true,https://blog.boot.dev/tutorials/python/lists/
blog.boot.dev/tutorials/python/loops,1,200,Loops in Python | Boot.dev,"If you’re new to Python, or perhaps coding in general (welcome!), loops are what allow us to do the same thing over and over and over again, without having to re-type the same code each time.",1119,20,26,12,true,1,true,true,https://blog.boot.dev/tutorials/python/loops/
blog.boot.dev/tutorials/python/loops/,1,200,Loops in Python | Boot.dev,"If you’re new to Python, or perhaps coding in general (welcome!), loops are what allow us to do the same thing over and over and over again, without having to re-type the same code each time.",1119,20,26,12,true,1,true,true,https://blog.boot.dev/tutorials/python/loops/
